seed,epoch,block,concept,fan_size,fact,prob
32,1,4,c3,4,f4,0.027462445199489594
32,1,4,c3,4,f5,0.02747405879199505
32,1,4,c3,4,f6,0.8915669322013855
32,1,4,c3,4,f7,0.02747405879199505
32,1,5,c1,1,f1,0.9584487080574036
32,1,5,c2,2,f2,0.7530477046966553
32,1,5,c2,2,f3,0.1925048828125
32,1,5,c3,4,f4,0.02578173577785492
32,1,5,c3,4,f5,0.025793416425585747
32,1,5,c3,4,f6,0.9019314646720886
32,1,5,c3,4,f7,0.025793416425585747
32,1,6,c1,1,f1,0.9657893776893616
32,1,6,c2,2,f2,0.7580373883247375
32,1,6,c2,2,f3,0.19271034002304077
32,1,6,c3,4,f4,0.024714786559343338
32,1,6,c3,4,f5,0.024726510047912598
32,1,6,c3,4,f6,0.9085212349891663
32,1,6,c3,4,f7,0.024726510047912598
